Value_pre,apps,goals,assists,minspergoal,minsplayed,age,Value_post
1.64,5,1,0,154,154,25,1.62
6.30,3,0,0,0,4,26,1.62
1.62,6,1,1,268,268,22,1.58
2.70,19,2,3,360,719,27,1.53
1.62,7,0,0,0,196,24,1.44
1.62,22,3,0,458,1373,23,1.44
1.62,15,6,2,165,992,22,1.38
630,34,9,3,238,2146,19,1.35
1.62,14,9,3,90,811,26,1.35
1.80,39,19,4,153,2899,28,1.35
1.58,10,1,1,302,302,25,1.35
1.80,17,3,3,236,708,25,1.35
1.53,11,0,1,0,467,26,1.35
900,20,2,8,655,1309,27,1.35
1.44,11,4,2,243,970,28,1.35
900,14,7,2,143,1000,32,1.35
1.44,13,1,0,606,606,21,1.35
1.62,81,17,0,334,5683,20,1.35
1.38,8,0,0,0,359,26,1.35
10.80,22,8,5,172,1377,23,1.35
540,18,5,0,226,1128,27,1.35
1.35,40,12,1,191,2296,24,1.35
225,26,5,4,272,1360,21,1.35
1.35,35,9,3,296,2665,21,1.32
0,12,6,2,147,884,29,1.32
1.35,24,2,2,668,1335,26,1.30
1.35,9,0,1,0,282,24,1.27
1.32,0,0,0,0,0,21,1.22
900,23,2,3,488,976,22,1.17
1.32,37,18,3,138,2485,30,1.14
1.80,9,1,0,245,245,20,1.08
1.30,13,7,3,164,1147,24,1.08
2.70,21,2,0,585,1169,25,1.08
1.27,16,3,0,320,961,28,1.08
1.80,8,2,0,249,497,24,1.08
1.22,14,4,2,253,1011,21,1.08
900,20,9,2,175,1576,23,1.08
1.17,16,5,2,145,723,25,1.08
3.60,1,0,0,0,1,21,1.08
1.14,20,6,2,210,1259,26,1.06
4.05,24,11,1,158,1743,30,1.06
1.08,6,0,0,0,235,21,1.05
1.80,20,11,4,137,1504,21,1.05
1.08,14,2,1,526,1052,25,1.04
1.80,9,0,0,0,312,27,1.04
2.70,39,23,6,138,3176,26,1.02
1.02,16,0,5,0,1017,28,990
1.35,24,4,2,319,1277,25,990
990,24,5,1,341,1706,24,955
630,12,3,2,347,1041,28,900
990,11,4,1,212,849,23,900
2.25,10,3,1,257,770,23,900
955,7,1,0,277,277,25,900
10.80,4,0,0,0,82,20,900
900,19,4,2,288,1150,27,900
10.80,12,0,0,0,337,22,900
900,13,4,0,188,750,34,900
7.65,16,0,2,0,538,23,900
900,10,2,0,302,603,26,900
5.40,21,12,0,99,1192,28,900
900,12,1,0,717,717,26,900
5.40,14,1,1,876,876,21,900
