Value_pre,apps,goals,assists,minspergoal,minsplayed,age,Value_post
1.62,16,1,0,1228,1228,24,1.44
1.48,9,0,1,0,500,23,1.44
2.70,7,0,0,0,404,21,1.44
1.44,3,0,0,0,32,34,1.35
1.08,16,0,2,0,1175,24,1.35
1.44,3,0,0,0,206,27,1.35
765,3,0,0,0,89,24,1.35
1.44,31,2,0,1297,2594,27,1.35
360,14,1,0,1135,1135,26,1.35
1.44,14,0,1,0,1071,24,1.35
4.50,10,0,0,0,753,25,1.35
1.35,16,2,0,698,1395,19,1.35
2.88,92,1,1,7856,7856,20,1.35
1.35,13,1,0,1012,1012,18,1.35
2.88,2,0,0,0,177,19,1.35
1.35,405,22,9,1540,33875,31,1.29
1.44,37,2,2,1617,3234,25,1.26
1.35,239,18,3,1135,20437,24,1.26
1.35,11,0,2,0,847,18,1.26
1.35,25,0,2,0,2200,23,1.23
1.08,32,1,0,2422,2422,18,1.22
45,96,3,0,2391,7172,23,1.19
1.19,33,1,4,1470,1470,23,1.18
405,5,0,0,0,92,24,1.17
1.18,5,0,0,0,281,24,1.17
2.16,3,1,0,270,270,19,1.17
1.17,12,0,0,0,750,19,1.17
1.08,23,2,3,778,1555,22,1.13
1.17,9,0,2,0,395,24,1.08
630,12,0,0,0,718,23,1.08
1.17,14,0,0,0,886,19,1.08
360,12,0,2,0,527,20,1.07
1.17,29,1,0,2445,2445,23,1.05
3.15,10,0,1,0,315,22,1.04
1.13,6,0,0,0,519,20,990
13.50,16,1,0,1159,1159,30,990
1.08,9,0,0,0,810,23,990
3.60,15,0,0,0,1098,23,990
1.08,5,0,0,0,358,25,990
608,3,0,0,0,98,26,957
1.08,13,0,1,0,1113,24,900
0,11,0,1,0,886,28,900
1.07,11,0,0,0,769,21,900
2.88,21,3,0,630,1890,26,900
1.05,9,0,0,0,484,25,900
0,340,12,8,2389,28669,32,900
3.60,9,0,1,0,617,24,900
900,6,0,0,0,350,29,900
2.70,22,0,1,0,1658,28,900
900,16,1,3,1222,1222,26,nd of loa
2.70,0,0,0,0,0,26,900
900,2,0,0,0,13,24,900
2.70,8,0,0,0,506,29,900
nd of loa,2,0,0,0,171,24,900
2.07,15,0,1,0,1296,28,900
900,13,0,0,0,632,27,900
1.80,18,0,3,0,1279,25,900
900,14,1,0,1120,1120,23,900
1.53,4,0,0,0,262,21,900
900,14,0,1,0,1166,26,900
1.44,7,0,1,0,556,30,900
900,10,0,0,0,331,27,900
1.44,14,1,0,1073,1073,25,900
900,17,0,1,0,1290,23,900
1.44,47,2,1,2024,4048,24,900
900,15,1,0,1221,1221,21,900
1.08,10,0,0,0,513,25,855
900,2,0,0,0,180,23,851
