Name,Nationality,Age,Games Played,Goals,Own Goals,Assists,Yellow Cards,Red Cards,Second Yellow,Subbed On,Subbed Off,Transfer Fee,Value
Tomas Holes,Czech Republic,28,19,1,0,1,0,1,0,4,3,1600000,7000000
Will Hughes,England,26,0,0,0,0,0,0,0,0,0,7000000,7000000
Robert Andrich,Germany,27,14,5,0,0,4,1,0,3,1,6500000,7000000
John Lundstram,England,27,19,2,0,0,1,0,1,6,4,0,7000000
Nicolae Stanciu,Romania,28,22,5,0,7,2,0,0,5,8,4000000,7000000
Sergi Darder,Spain,27,14,0,0,2,1,0,0,0,8,8000000,7000000
Okay Yokuslu,Turkey,27,6,0,0,0,0,0,0,6,0,0,7000000
Carles Gil,Spain,29,0,0,0,0,0,0,0,0,0,1500000,7000000
Héctor Herrera,Mexico,31,10,2,0,0,1,0,0,7,3,0,7000000
Callum McGregor,Scotland,28,24,2,0,2,3,0,0,0,4,0,7000000
Yannick Gerhardt,Germany,27,13,0,0,3,0,0,0,5,6,13000000,7000000
Pascal Groß,Germany,30,12,0,0,2,0,0,0,2,3,3000000,7000000
Daniel Wass,Denmark,32,15,1,0,1,4,0,0,0,8,6000000,7000000
Morgan Schneiderlin,France,32,4,0,0,1,0,0,0,4,0,2230000,7000000
Aster Vranckx,Belgium,19,10,0,0,0,0,0,0,4,2,8000000,6800000
Gabriel Sara,Brazil,22,0,0,0,0,0,0,0,0,0,0,6500000
Joe Aribo,Nigeria,25,25,4,0,3,5,0,0,0,12,0,6500000
José Cifuentes,Ecuador,22,0,0,0,0,0,0,0,0,0,2730000,6500000
Santiago Ascacíbar,Argentina,24,11,0,0,0,3,0,0,0,1,10000000,6500000
Ivan Oblyakov,Russia,23,17,0,0,2,3,0,0,1,1,4000000,6500000
Ferdi Kadioglu,Netherlands,22,20,2,0,2,2,0,0,2,9,1400000,6500000
Danilo Barbosa,Brazil,25,0,0,0,0,0,0,0,0,0,0,6500000
Mirko Ivanic,Montenegro,28,29,11,0,1,3,0,0,1,11,1300000,6500000
Ryan Gauld,Scotland,25,0,0,0,0,0,0,0,0,0,350000,6500000
Hany Mukhtar,Germany,26,0,0,0,0,0,0,0,0,0,2700000,6500000
Simone Verdi,Italy,29,4,1,0,0,0,0,0,4,0,22000000,6500000
Souza,Brazil,32,17,1,0,0,3,0,1,0,0,0,6500000
Alex Teixeira,Brazil,31,13,2,0,0,3,0,0,6,7,0,6500000
Victor Moses,Nigeria,30,19,1,0,4,3,0,0,2,8,5000000,6500000
Jorge Carrascal,Colombia,23,19,3,0,3,4,0,0,10,7,2500000,6200000
Cristian Medina,Argentina,19,14,0,0,0,1,0,0,8,5,0,6000000
Cole Bassett,United States,20,0,0,0,0,0,0,0,0,0,0,6000000
Santiago Sosa,Argentina,22,0,0,0,0,0,0,0,0,0,4950000,6000000
Giuliano Galoppo,Argentina,22,20,2,0,0,3,0,1,1,3,0,6000000
Nicolás Castro,Argentina,21,20,5,0,5,2,0,0,0,16,0,6000000
Kristian Thorstvedt,Norway,22,22,3,0,1,6,0,0,5,10,1500000,6000000
Cheick Doucouré,Mali,21,13,0,0,2,3,1,0,0,2,0,6000000
Junior Dina Ebimbe,France,21,7,0,0,0,1,0,0,4,3,0,6000000
Jason Knight,Ireland,20,14,2,0,2,0,0,0,4,4,0,6000000
Nicolò Rovella,Italy,19,21,0,0,5,3,0,0,3,3,0,6000000
Efraín Álvarez,Mexico,19,1,0,0,0,0,0,0,1,0,0,6000000
Fausto Vera,Argentina,21,3,0,0,0,0,0,0,2,0,0,6000000
Anouar Ait El Hadj,Belgium,19,19,0,0,1,1,0,0,9,9,0,6000000
Amadou Onana,Belgium,20,22,1,0,1,3,1,0,12,5,7000000,6000000
Tomás Belmonte,Argentina,23,16,1,0,1,5,0,1,10,3,0,6000000
Manuel Ugarte,Uruguay,20,9,1,0,0,3,0,0,7,1,6500000,6000000
Steven Alzate,Colombia,23,4,0,0,0,0,0,0,1,2,0,6000000
Nicolas Raskin,Belgium,20,20,1,0,1,5,0,0,2,9,0,6000000
Daniil Fomin,Russia,24,17,7,0,3,4,0,0,1,6,3500000,6000000
Antoine Bernede,France,22,11,0,0,1,1,0,0,6,4,0,6000000
Angel Gomes,England,21,13,0,0,0,1,0,0,5,8,0,6000000
Selim Amallah,Morocco,25,11,2,0,2,4,0,0,1,7,1500000,6000000
Pablo Rosario,Netherlands,24,16,0,0,0,3,0,0,4,6,6000000,6000000
Chiquinho,Portugal,26,11,0,0,0,0,0,0,6,3,0,6000000
Mahdi Camara,France,23,14,0,0,0,4,0,0,1,2,0,6000000
Abdülkadir Ömür,Turkey,22,15,3,0,1,1,0,0,5,7,0,6000000
Éder Balanta,Colombia,28,19,1,0,0,8,0,0,2,8,2400000,6000000
Rade Krunic,Bosnia-Herzegovina,28,11,0,0,1,0,0,0,3,6,8600000,6000000
Diego Valdés,Chile,27,17,4,0,6,3,1,0,2,6,6100000,6000000
Glen Kamara,Finland,26,21,1,0,2,1,0,1,0,4,55000,6000000
Karol Linetty,Poland,26,14,0,0,2,2,0,0,3,10,7500000,6000000
Adrien Thomasson,France,27,13,4,0,1,1,1,0,3,2,0,6000000
John Swift,England,26,20,8,0,9,3,0,0,0,2,0,6000000
Wylan Cyprien,France,26,8,0,0,1,0,0,0,3,4,0,6000000
Jean Michaël Seri,Cote d'Ivoire,30,19,0,0,6,2,0,0,2,5,0,6000000
Gabriel Pires,Brazil,28,9,1,0,3,1,0,0,0,4,0,6000000
Konstantinos Fortounis,Greece,29,0,0,0,0,0,0,0,0,0,400000,6000000
Adrien Tamèze,Cameroon,27,15,2,0,0,1,0,0,7,6,0,6000000
