Name,Nationality,Age,Games Played,Goals,Own Goals,Assists,Yellow Cards,Red Cards,Second Yellow,Subbed On,Subbed Off,Value
Yuri Alberto,Brazil,20,0,0,0,0,0,0,0,0,0,6000000.0
Konrad de la Fuente,United States,20,15,0,0,2,1,0,0,8,7,6000000.0
Facundo Torres,Uruguay,21,0,0,0,0,0,0,0,0,0,6000000.0
Willem Geubbels,France,20,5,0,0,0,0,0,0,4,1,6000000.0
Mostafa Mohamed,Egypt,24,22,4,0,1,2,0,0,15,6,6000000.0
Martín Ojeda,Argentina,23,21,12,0,3,2,0,0,0,4,6000000.0
Artur,Brazil,23,0,0,0,0,0,0,0,0,0,6000000.0
Vladyslav Supryaga,Ukraine,21,8,0,0,0,2,0,0,4,4,6000000.0
Javi Puado,Spain,23,9,0,0,1,1,0,0,4,5,6000000.0
Jakub Kaminski,Poland,19,20,6,0,8,0,0,0,0,13,6000000.0
Emanuel Vignato,Italy,21,15,1,0,0,3,0,0,9,4,6000000.0
Sam Lammers,Netherlands,24,13,2,0,0,0,0,0,6,6,6000000.0
Kerem Aktürkoglu,Turkey,23,25,6,0,5,2,0,0,4,16,6000000.0
Pietro Pellegri,Italy,20,5,0,0,0,0,0,0,5,0,6000000.0
Anders Dreyer,Denmark,23,19,9,0,5,0,0,1,0,6,6000000.0
Karol Swiderski,Poland,24,20,2,0,3,4,0,0,10,7,6000000.0
Toni Martínez,Spain,24,15,4,0,0,0,0,1,8,6,6000000.0
Tyler Roberts,Wales,22,18,1,0,0,3,0,0,12,5,6000000.0
Kristijan Lovric,Croatia,25,17,7,0,4,5,0,0,2,9,6000000.0
Lukas Provod,Czech Republic,25,0,0,0,0,0,0,0,0,0,6000000.0
Nuno Santos,Portugal,26,21,4,0,1,1,0,0,10,6,6000000.0
Gyrano Kerk,Netherlands,25,15,1,1,2,3,0,0,3,4,6000000.0
Cristian Arango,Colombia,26,0,0,0,0,0,0,0,0,0,6000000.0
José Luis Morales,Spain,34,15,4,0,0,3,0,0,2,3,6000000.0
Shon Weissman,Israel,25,16,8,0,2,1,1,0,1,5,6000000.0
Nemanja Radonjic,Serbia,25,9,1,0,1,3,0,0,5,3,6000000.0
Baghdad Bounedjah,Algeria,30,9,11,0,3,1,0,0,1,1,6000000.0
Andreas Cornelius,Denmark,28,15,6,0,1,1,0,0,7,7,6000000.0
Simy,Nigeria,29,14,1,0,2,0,0,0,8,5,6000000.0
Romarinho,Brazil,30,12,8,0,1,1,0,0,0,7,6000000.0
Uros Djurdjevic,Montenegro,27,14,5,0,1,5,0,0,0,2,6000000.0
Callum Robinson,Ireland,26,19,6,0,5,0,0,0,6,9,6000000.0
Rony Lopes,Portugal,25,11,0,0,1,0,0,0,8,3,6000000.0
Djordje Despotovic,Serbia,29,8,1,0,1,2,0,0,1,4,6000000.0
