Value_pre,apps,goals,assists,minspergoal,minsplayed,age,Value_post
1.26,43,0,1,0,2194,25,1.35
1.35,16,1,0,1321,1321,24,1.35
990,27,1,3,1485,1485,18,1.35
1.35,12,3,1,243,730,25,1.35
765,8,0,0,0,393,17,1.35
1.35,1,0,0,0,19,18,1.35
630,23,1,0,1643,1643,21,1.26
1.35,12,1,0,1015,1015,19,1.26
630,3,0,0,0,70,20,1.23
1.35,13,3,2,204,612,23,1.17
540,19,4,2,423,1690,27,1.17
1.35,15,0,1,0,1022,28,1.17
450,37,5,4,534,2672,25,1.14
1.35,22,0,4,0,1456,25,1.05
0,17,0,1,0,1011,22,1.04
1.35,37,0,2,0,2833,20,990
1.08,8,1,1,453,453,27,900
1.26,11,0,1,0,429,25,900
0,7,0,0,0,377,26,900
1.26,22,5,1,348,1742,25,900
45,9,0,0,0,339,23,900
2.70,9,0,0,0,289,28,900
900,15,0,0,0,655,27,900
2.43,9,0,0,0,339,24,900
900,14,4,1,264,1054,25,900
2.25,13,0,0,0,1170,29,900
900,35,5,3,450,2251,28,900
2.25,25,1,3,1715,1715,21,900
900,12,0,0,0,735,25,900
2.07,11,1,3,573,573,26,900
900,8,0,1,0,593,24,900
2.07,8,2,2,349,698,30,900
900,16,8,1,148,1182,27,900
1.35,18,4,0,325,1300,24,900
900,10,0,2,0,383,23,900
1.08,13,1,0,509,509,23,900
900,23,2,4,619,1238,26,900
1.08,12,1,1,476,476,27,900
900,18,0,1,0,1298,21,900
900,13,2,0,509,1017,23,900
900,4,0,0,0,150,18,900
900,4,0,0,0,101,19,900
900,26,1,2,1945,1945,26,818
900,21,2,2,645,1290,26,810
900,3,0,1,0,270,19,792
900,28,0,0,0,2225,28,765
540,5,0,0,0,203,24,743
743,5,0,0,0,187,22,720
4.05,15,0,0,0,1335,27,720
720,20,3,0,555,1666,24,720
1.62,8,0,1,0,452,25,675
720,10,0,2,0,302,18,675
1.35,8,0,0,0,271,16,675
720,17,1,2,1476,1476,30,630
